timestamp,id,element,info
1698090498911,mouseMoved,mouse,-
1698090498920,mouseMoved,mouse,-
1698090498926,mouseMoved,mouse,-
1698090498942,mouseMoved,mouse,-
1698090498950,mouseMoved,mouse,-
1698090498956,mouseMoved,mouse,-
1698090498964,mouseMoved,mouse,-
1698090498986,mouseMoved,mouse,-
1698090499011,mouseMoved,mouse,-
1698090499024,mouseMoved,mouse,-
1698090499039,mouseMoved,mouse,-
1698090499061,mouseMoved,mouse,-
1698090499076,mouseMoved,mouse,-
1698090499099,mouseMoved,mouse,-
1698090499114,mouseMoved,mouse,-
1698090499129,mouseMoved,mouse,-
1698090499152,mouseMoved,mouse,-
1698090499166,mouseMoved,mouse,-
1698090499414,mouseMoved,mouse,-
1698090499421,mouseMoved,mouse,-
1698090499430,mouseMoved,mouse,-
1698090499436,mouseMoved,mouse,-
1698090499445,mouseMoved,mouse,-
1698090499451,mouseMoved,mouse,-
1698090499461,mouseMoved,mouse,-
1698090499477,mouseMoved,mouse,-
1698090499481,mouseMoved,mouse,-
1698090499491,mouseMoved,mouse,-
1698090499497,mouseMoved,mouse,-
1698090499504,mouseMoved,mouse,-
1698090499511,mouseMoved,mouse,-
1698090499519,mouseMoved,mouse,-
1698090499527,mouseMoved,mouse,-
1698090499534,mouseMoved,mouse,-
1698090499542,mouseMoved,mouse,-
1698090499549,mouseMoved,mouse,-
1698090499556,mouseMoved,mouse,-
1698090499564,mouseMoved,mouse,-
1698090499579,mouseMoved,mouse,-
1698090499587,mouseMoved,mouse,-
1698090500299,mouseMoved,mouse,-
1698090500306,mouseMoved,mouse,-
1698090500314,mouseMoved,mouse,-
1698090500321,mouseMoved,mouse,-
1698090500329,mouseMoved,mouse,-
1698090500336,mouseMoved,mouse,-
1698090500344,mouseMoved,mouse,-
1698090500352,mouseMoved,mouse,-
1698090500360,mouseMoved,mouse,-
1698090500375,mouseMoved,mouse,-
1698090500389,mouseMoved,mouse,-
1698090500766,mouseMoved,mouse,-
1698090500771,mouseMoved,mouse,-
1698090500778,mouseMoved,mouse,-
